FileID,,T20P58300100002
TestTime,,2018/03/12 00:40
WO,,T13P57400500
Operator,,0
MaximumBin,,256
Specification,,95.C2016.NMC100Z.tsf
SpecRemark,,
FileName,,T20P58300100002.csv
ProductName,,
DeviceNumber,,95.c2016.nmc100z
LOT_ID,,T20P58300100002
ComponentNo,,T20P58300100002
Customer,,
Class,,
OrderNumber,,
Temperature,,
Humidity,,
Remark1,,
Remark2,,
Remark3,,3.80.238
Remark4,,
EQP_ID,,P5PBW003
Recipe_Name,,95.C2016.NMC100Z.tsf
QTY,,1080
SideBin,,259
NGBin,,211
ResortBin,,0
TryLot,,No
CORREL1,,0
CORREL2,,0
SUMITEM,Bin,BIN_CODE,BIN_GRADE,CONT1,CONT2,CONT3,CONT4,TPOLAR,SPEC1_x,SPEC1_y,SPEC1_WLP,LOP1,VF1,VF2,VF3,VF4,VF5,VR1,ARI1
MAX,253,0,0,0,0,0,0,0,0.3348,0.358,450.0382,339.2706,3.3984,2.38,2.3789,3.2386,2.3762,0.622,0.089
MIN,29,0,0,0,0,0,0,0,0.312,0.3138,443.7567,24.0728,2.6035,2.3258,2.3241,2.3075,2.248,0.536,0.0003
AVG,79.3630,0,0,0,0,0,0,0,0.3219,0.3333,445.9886,308.8152,3.2454,2.3612,2.3615,3.082,2.2979,0.5558,0.0636
STD,36.5636,0,0,0,0,0,0,0,0.0041,0.0077,1.0923,46.6966,0.0841,0.0054,0.0058,0.0707,0.0161,0.0123,0.0136
NG,0,0,0,0,0,0,0,0,0,,0,0,206,1,0,0,0,4,0
Cond_NG,0,0,0,0,0,0,0,0,19,,0,239,1,0,0,0,0,0,0


map data
PosX,PosY,Bin,TEST,BIN_CODE,BIN_GRADE,CONT1,CONT2,CONT3,CONT4,TPOLAR,SPEC1_x,SPEC1_y,SPEC1_WLP,LOP1,VF1,VF2,VF3,VF4,VF5,VR1,ARI1
29,2,59,102,B0001U6B,1,0,0,0,0,0,0.3184,0.3252,444.24,326.8,3.2405,2.3659,2.3672,3.0763,2.2944,0.5506,0.0728
30,2,80,103,C0001U6B,1,0,0,0,0,0,0.3206,0.3329,447.15,330,3.2371,2.3524,2.3536,3.0722,2.2806,0.5497,0.0729
31,2,59,104,B0001U6B,1,0,0,0,0,0,0.3196,0.3297,446.44,326.07,3.2913,2.3591,2.3603,3.12,2.2886,0.547,0.0717
32,2,59,105,B0001U6B,1,0,0,0,0,0,0.3163,0.3219,444.5,324.09,3.2841,2.3663,2.3673,3.1148,2.2959,0.547,0.0714
33,2,80,106,C0001U6B,1,0,0,0,0,0,0.3219,0.3345,447.06,326.86,3.2968,2.3559,2.3569,3.1227,2.2837,0.5424,0.0732
34,2,80,107,C0001U6B,1,0,0,0,0,0,0.3215,0.3328,446.51,327.8,3.3028,2.3588,2.36,3.1282,2.2867,0.5442,0.0732
35,2,59,108,B0001U6B,1,0,0,0,0,0,0.3189,0.3292,447.12,325.68,3.2976,2.3553,2.3563,3.1261,2.2878,0.5479,0.0685
0,3,29,109,A0001U3B,1,0,0,0,0,0,0.3157,0.3213,445.78,263.08,3.2701,2.356,2.3516,3.0962,2.2802,0.5451,0.0714
1,3,59,110,B0001U6B,1,0,0,0,0,0,0.3183,0.328,447.09,332.81,3.2902,2.36,2.3568,3.1165,2.2924,0.5506,0.0644
2,3,59,111,B0001U6B,1,0,0,0,0,0,0.3188,0.3281,446.2,328.18,3.2798,2.3605,2.3562,3.1067,2.2912,0.5515,0.065
3,3,59,112,B0001U6B,1,0,0,0,0,0,0.3176,0.3259,446.18,329.22,3.2672,2.3624,2.3598,3.0973,2.2959,0.5515,0.0639
4,3,80,113,C0001U6B,1,0,0,0,0,0,0.3211,0.3318,445.74,331.39,3.2781,2.3621,2.3591,3.1038,2.2864,0.5415,0.0726
